LATITUDE,LONGITUD,COUNTY
37.73248333,-122.41440278,75
37.32978333,-121.86791667,85
37.48295833,-121.93601389,1
37.37074444,-121.91287222,85
37.04497778,-121.26157222,85
37.66176667,-122.10489444,1
37.43208889,-121.90637222,85
37.364975,-122.00766111,85
37.50781667,-122.24949167,81
37.73346389,-122.03244444,1
37.70041944,-122.15188889,1
37.72171111,-121.68163611,1
37.64366111,-122.09316111,1
37.37019444,-121.84310556,85
37.48773611,-122.207,81
37.38802778,-121.97608056,85
37.68711944,-122.13300278,1
37.44479722,-122.11883611,85
37.78965,-122.25584167,1
37.80196111,-122.29788056,1
37.51571667,-121.92970278,1
37.67605556,-121.78573611,1
37.3861,-121.9779,85
37.48016944,-121.91245,1
37.371925,-122.25283333,81
37.4751,-122.20906944,81
37.7666,-122.24081944,1
37.1679,-122.36156111,81
37.31376667,-122.18095,81
37.31391944,-122.18118056,81
37.41926389,-122.21798889,81
37.32400833,-121.89212222,85
37.29131667,-121.93697778,85
37.50893333,-121.97608889,1
37.24184167,-122.00345833,85
37.27343056,-121.95256944,85
37.67732222,-122.13343889,1
37.14125278,-121.60812778,85
37.444675,-121.9068,85
37.024325,-121.5617,85
37.63168333,-122.08763611,1
37.49238611,-122.22137778,81
37.69084722,-122.08855,1
37.71727222,-122.17475278,1
37.76563333,-122.22950833,1
37.72303611,-122.43606111,75
37.975175,-122.49008333,41
37.36410278,-122.12451667,85
37.68379722,-122.11351111,1
37.73724444,-122.21357778,1
37.97986944,-121.78908889,85
37.72244722,-122.03724722,1
37.7938,-122.26430556,1
37.00473056,-121.58179722,85
37.67310278,-121.83455278,1
37.66103333,-122.40353611,81
37.48218056,-122.15038611,81
37.78759722,-122.40348333,75
37.09233333,-121.64061111,85
37.76483056,-122.41746111,75
37.32519444,-121.78216667,85
37.74610278,-122.50277222,75
37.77408889,-122.49286944,75
37.27518056,-122.14976389,85
37.78859722,-122.25118333,1
37.40003889,-121.99568333,85
37.66879722,-122.080825,1
37.07828889,-121.62125556,85
37.57855556,-122.04823056,1
37.29846389,-121.94983333,85
37.31744167,-121.82989722,85
37.70068611,-122.18936944,1
37.49419167,-122.29603056,81
37.55762222,-122.04343056,1
37.70158056,-121.914175,1
37.72183889,-121.6784,1
37.56111667,-121.99498611,1
37.66581111,-122.46891944,81
37.60479444,-122.49863333,81
37.70955833,-122.45052778,75
37.25066667,-121.91505278,85
37.20621389,-121.99071111,85
37.74126944,-121.58073333,1
36.97399444,-121.55484722,85
37.71713611,-122.424775,75
37.30747222,-121.82924444,85
37.79447778,-122.40481111,75
38.00658056,-122.6156,41
37.79741667,-122.41027222,75
37.24499444,-121.77165278,85
37.63159722,-122.08151389,1
37.72335278,-121.646525,1
37.72975,-122.43330833,75
37.49535278,-122.45597222,81
37.69725833,-122.13009722,1
37.36572222,-121.83875833,85
37.24171111,-121.76986667,85
