FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
224619|Grimes|Populated Place|31288|U5|1492|061492011|06|CA|1|011|Colusa|39.0743383|-121.8938583|01/19/1981|01/29/2011
224701|Gualala|Populated Place|31428|U6|1515|061515045|06|CA|1|045|Mendocino|38.7657447|-123.5280651|01/19/1981|04/21/2016
224709|Guidiville Rancheria|Civil|1400R|D1|||06|CA|1|045|Mendocino|39.1654307|-123.1699399|01/19/1981|02/01/2019
224711|Guinda|Populated Place|31540|U5|1519|061519113|06|CA|1|113|Yolo|38.8290674|-122.1938633|01/19/1981|01/29/2011
224823|Twain|Populated Place|80952|U5|3964|063964063|06|CA|1|063|Plumas|40.0201673|-121.0719031|06/14/2000|07/31/2017
224830|Hamburg Farms|Populated Place|31840|U6|||06|CA|1|047|Merced|36.8793932|-120.7637961|01/19/1981|
225143|Helm|Populated Place|33168|U6|1574|061574019|06|CA|1|019|Fresno|36.5316159|-120.0982058|01/19/1981|
225170|Henderson Village|Populated Place|33238|U6|||06|CA|1|077|San Joaquin|38.1007531|-121.3055034|01/19/1981|
225314|Hilarita|Populated Place|33686|U4|||06|CA|1|041|Marin|37.884093|-122.4719173|01/19/1981|
225352|Hilton|Populated Place|33882|U6|||06|CA|1|097|Sonoma|38.5046346|-122.9402743|01/19/1981|
225376|Hobergs|Populated Place|34005|U6|||06|CA|1|033|Lake|38.8435139|-122.7244339|01/19/1981|10/18/2018
225509|Honcut|Populated Place|34428|U5|1631|061631007|06|CA|1|007|Butte|39.3290561|-121.5338564|01/19/1981|01/29/2011
225528|Hood|Populated Place|34484|U5|1636|061636067|06|CA|1|067|Sacramento|38.3682444|-121.5174543|01/19/1981|01/29/2011
225577|Hopland Rancheria|Civil|1515R|D2|||06|CA|1|045|Mendocino|38.9953764|-123.0393673|01/19/1981|02/01/2019
225577|Hopland Rancheria|Civil|1515R|D2|||06|CA|2|033|Lake|38.9953764|-123.0393673|01/19/1981|02/01/2019
225830|Igerna|Populated Place|36217|U6|||06|CA|1|093|Siskiyou|41.4015391|-122.3794596|01/19/1981|
225832|Igo|Populated Place|36252|U6|1679|061679089|06|CA|1|089|Shasta|40.5054281|-122.5416799|01/19/1981|
225841|Independence|Populated Place|36345|U6|||06|CA|1|009|Calaveras|38.3490803|-120.5135368|01/19/1981|
226085|Jackson Rancheria|Civil|1640R|D2|||06|CA|1|005|Amador|38.3848656|-120.722627|01/19/1981|02/01/2019
226199|Jenny Lind|Populated Place|37288|U6|||06|CA|1|009|Calaveras|38.0949216|-120.8699371|01/19/1981|
226245|Jimtown|Populated Place|37386|U6|||06|CA|1|097|Sonoma|38.6665756|-122.819715|01/19/1981|
226527|Kenwood|Populated Place|38156|U5|1751|061751097|06|CA|1|097|Sonoma|38.4138005|-122.5460935|01/19/1981|01/29/2011
226616|Kingvale|Populated Place|38604|U5|||06|CA|1|057|Nevada|39.3210149|-120.4288153|01/19/1981|07/14/2017
226631|Kirkville|Populated Place|38632|U6|||06|CA|1|101|Sutter|38.9087867|-121.7927445|01/19/1981|07/14/2017
226647|Kneeland|Populated Place|38758|U6|1772|061772023|06|CA|1|023|Humboldt|40.7612425|-123.9947779|01/19/1981|
226652|Knights Landing|Populated Place|38800|U5|1773|061773113|06|CA|1|113|Yolo|38.7996238|-121.718297|01/19/1981|07/14/2017
226662|Knowles Corner|Populated Place|38845|U6|||06|CA|1|097|Sonoma|38.3524149|-122.8152694|01/19/1981|
226677|Korbel|Populated Place|38890|U6|||06|CA|1|097|Sonoma|38.5076904|-122.964442|01/19/1981|
226719|La Selva Beach|Populated Place|40508|U5|1855|061855087|06|CA|1|087|Santa Cruz|36.9366187|-121.8646774|01/19/1981|05/26/2015
226721|La Vina|Populated Place|40872|U5|||06|CA|1|039|Madera|36.8805022|-120.1104401|01/19/1981|01/29/2011
226726|La Grange|Populated Place|39164|U6|1783|061783099|06|CA|1|099|Stanislaus|37.6635433|-120.4635289|01/19/1981|
226935|Laurel|Populated Place|40802|U6|||06|CA|1|087|Santa Cruz|37.1166136|-121.9663477|01/19/1981|
226975|Laytonville Rancheria|Civil|1925R|D2|||06|CA|1|045|Mendocino|39.6692903|-123.5006818|01/19/1981|02/01/2019
226986|Leavitt|Populated Place|40953|U6|||06|CA|1|035|Lassen|40.3960086|-120.5260578|01/19/1981|10/17/2017
227007|Leggett|Populated Place|41026|U5|1874|061874045|06|CA|1|045|Mendocino|39.8657071|-123.7141884|01/19/1981|03/16/2016
227496|Lombard|Populated Place|42454|U6|||06|CA|1|055|Napa|38.1907508|-122.2560823|01/19/1981|
227515|Lone Star|Populated Place|42608|U6|||06|CA|1|019|Fresno|36.7005057|-119.6812492|01/19/1981|03/31/2017
227537|Long Barn|Populated Place|42622|U5|1968|061968109|06|CA|1|109|Tuolumne|38.0929762|-120.1343539|01/19/1981|01/29/2011
227643|Lookout Rancheria|Civil|1980R|D2|||06|CA|1|049|Modoc|41.2138759|-121.0933983|01/19/1981|02/01/2019
227648|Loomis Corners|Populated Place|43154|U6|||06|CA|1|089|Shasta|40.5882068|-122.3058387|01/19/1981|
227654|Lorenzo Station|Populated Place|43206|U6|||06|CA|1|001|Alameda|37.6924307|-122.1299647|01/19/1981|
227807|Loyola Corners|Populated Place|44385|U6|||06|CA|1|085|Santa Clara|37.3521636|-122.0860732|01/19/1981|
227872|Lyoth|Populated Place|44630|U6|2018|062018077|06|CA|1|077|San Joaquin|37.7157626|-121.3816102|01/19/1981|
227874|Lytton|Populated Place|44658|U6|2021|062021097|06|CA|1|097|Sonoma|38.659354|-122.8716615|01/19/1981|
227877|Lytton Rancheria|Civil|2075R|D2|||06|CA|1|013|Contra Costa|37.9525763|-122.334403|01/19/1981|02/01/2019
227904|Madeline|Populated Place|45008|U6|2049|062049035|06|CA|1|035|Lassen|41.0510078|-120.4755054|01/19/1981|10/17/2017
227916|Madison|Populated Place|45064|U5|2053|062053113|06|CA|1|113|Yolo|38.6793483|-121.9683023|01/19/1981|01/29/2011
228014|Manila|Populated Place|45414|U5|||06|CA|1|023|Humboldt|40.8517929|-124.1622856|01/19/1981|12/06/2013
228016|Mankas Corner|Populated Place|45442|U6|||06|CA|1|095|Solano|38.2863023|-122.106913|01/19/1981|
228121|Mark West Springs|Populated Place|46010|U6|||06|CA|1|097|Sonoma|38.5490762|-122.7202653|01/19/1981|
228136|Marshall|Populated Place|46058|U6|2087|062087041|06|CA|1|041|Marin|38.1604766|-122.8941619|01/19/1981|
228158|Martell|Populated Place|46100|U5|2088|062088005|06|CA|1|005|Amador|38.3668572|-120.7960468|01/19/1981|07/10/2017
228245|Maxwell|Populated Place|46338|U5|2108|062108011|06|CA|1|011|Colusa|39.2762768|-122.191366|01/19/1981|01/29/2011
228626|Middletown|Populated Place|47332|U5|2155|062155033|06|CA|1|033|Lake|38.7524045|-122.6149853|01/19/1981|03/25/2016
