TWAY_ID,TWAY_ID2,COUNTY,LATITUDE,LONGITUD,DATE,DAY_WEEK,HOUR,LGT_COND,WEATHER,WRK_ZONE,FATALS,PEDS,MAN_COLL,FUNC_SYS,TYP_INT
SR-20,NO SECOND STREET,ALAMEDA,34.20978333,-82.38839722,2016-02-08,MONDAY,0,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-301,SR-713,SAN FRANCISCO,33.48061667,-80.89690556,2016-02-10,WEDNESDAY,19,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,T
SR-106,NO SECOND STREET,MARIN,34.08409444,-79.93935833,2016-02-19,FRIDAY,22,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
SR-796,NO SECOND STREET,SAN FRANCISCO,33.49580556,-80.81843611,2016-02-22,MONDAY,11,DAY,CLEAR,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
SR-71,NO SECOND STREET,ALAMEDA,34.19493056,-82.47533333,2016-02-25,THURSDAY,10,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-74,NO SECOND STREET,SAN FRANCISCO,33.51990556,-80.95286111,2016-02-27,SATURDAY,17,DAY,CLEAR,0,2,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
SR-20,NO SECOND STREET,ALAMEDA,34.22606389,-82.38923056,2016-02-29,MONDAY,8,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-301,SR-196,SAN FRANCISCO,33.45883333,-80.71524444,2016-03-04,FRIDAY,17,DAY,CLEAR,0,1,0,ANGLED,ARTERY,Y
SR-267,SR-82,SAN FRANCISCO,33.46525833,-80.52461111,2016-03-09,WEDNESDAY,7,DAY,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
SR-28,CR-PRESIDO DRIVE,SANTA CLARA,33.979825,-80.52531667,2016-02-20,SATURDAY,16,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,T
CR-HEYWARD RD,NO SECOND STREET,MARIN,34.08075556,-79.8301,2016-03-11,FRIDAY,17,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-76,SR-53,MARIN,34.08523333,-80.02771944,2016-03-19,SATURDAY,3,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
SR-484,NO SECOND STREET,MARIN,33.99656389,-79.76573611,2016-03-24,THURSDAY,1,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-202,NO SECOND STREET,SAN FRANCISCO,33.40913333,-80.46832222,2016-04-23,SATURDAY,2,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-53,NO SECOND STREET,SANTA CLARA,33.99211389,-79.98984167,2016-04-03,SUNDAY,17,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-81,NO SECOND STREET,SANTA CLARA,33.96952778,-80.31905,2016-04-06,WEDNESDAY,20,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
US-76,NO SECOND STREET,MARIN,34.19679722,-79.70640833,2016-04-30,SATURDAY,23,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
I-95,NO SECOND STREET,SAN FRANCISCO,33.45563611,-80.47890833,2016-05-02,MONDAY,1,NIGHT,CLEAR,1,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
